           aplay-4932  [002] .... 73814.594316: module_put: snd_pcm call_site=__fput refcnt=5
           aplay-4980  [002] .... 75045.852834: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-15190 [006] .... 76829.863660: module_put: snd_pcm call_site=module_unload_free refcnt=4
           aplay-15259 [002] .... 76984.039462: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-16395 [003] .... 86193.846871: module_put: snd_pcm call_site=module_unload_free refcnt=4
           rmmod-16395 [003] .... 86193.894053: module_put: snd_pcm call_site=module_unload_free refcnt=3
           rmmod-16428 [001] .... 86234.538141: module_put: snd_pcm call_site=module_unload_free refcnt=2
           aplay-16480 [002] .... 86362.042428: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-22475 [002] .... 315876.306094: snd_hdac_stream_stop: stream_tag: 1
           rmmod-22475 [002] .... 315876.414046: snd_hdac_stream_stop: stream_tag: 1
           rmmod-22475 [002] .... 315876.414059: snd_hdac_stream_stop: stream_tag: 2
           rmmod-22475 [002] .... 315876.414060: snd_hdac_stream_stop: stream_tag: 3
           rmmod-22475 [002] .... 315876.414062: snd_hdac_stream_stop: stream_tag: 4
           rmmod-22475 [002] .... 315876.414064: snd_hdac_stream_stop: stream_tag: 5
           rmmod-22475 [002] .... 315876.414069: snd_hdac_stream_stop: stream_tag: 6
           rmmod-22475 [002] .... 315876.414071: snd_hdac_stream_stop: stream_tag: 7
           rmmod-22475 [002] .... 315876.414073: snd_hdac_stream_stop: stream_tag: 8
           rmmod-24794 [004] .... 321467.514122: snd_hdac_stream_stop: stream_tag: 1
           rmmod-24794 [004] .... 321467.626462: snd_hdac_stream_stop: stream_tag: 1
           rmmod-24794 [004] .... 321467.626477: snd_hdac_stream_stop: stream_tag: 2
           rmmod-24794 [004] .... 321467.626480: snd_hdac_stream_stop: stream_tag: 3
           rmmod-24794 [004] .... 321467.626485: snd_hdac_stream_stop: stream_tag: 4
           rmmod-24794 [004] .... 321467.626487: snd_hdac_stream_stop: stream_tag: 5
           rmmod-24794 [004] .... 321467.626488: snd_hdac_stream_stop: stream_tag: 6
           rmmod-24794 [004] .... 321467.626491: snd_hdac_stream_stop: stream_tag: 7
           rmmod-24794 [004] .... 321467.626492: snd_hdac_stream_stop: stream_tag: 8
           aplay-24982 [001] .... 321913.677166: azx_pcm_open: stream_tag: 5
           aplay-24982 [001] .... 321913.677516: azx_pcm_hw_params: stream_tag: 5
           aplay-24982 [001] .... 321913.677551: azx_pcm_prepare: stream_tag: 5
           aplay-24982 [001] .... 321913.677584: hda_send_cmd: [0000:00:1b.0:0] val=0x002f0600
           aplay-24982 [001] .... 321913.677646: hda_get_response: [0000:00:1b.0:0] val=0x00000000
           aplay-24982 [001] .... 321913.677657: hda_send_cmd: [0000:00:1b.0:0] val=0x00270650
           aplay-24982 [001] .... 321913.677669: hda_send_cmd: [0000:00:1b.0:0] val=0x002a0000
           aplay-24982 [001] .... 321913.677727: hda_get_response: [0000:00:1b.0:0] val=0x00000031
           aplay-24982 [001] .... 321913.686596: hda_send_cmd: [0000:00:1b.0:0] val=0x00220011
           aplay-24982 [001] .... 321913.686621: hda_send_cmd: [0000:00:1b.0:0] val=0x003f0600
           aplay-24982 [001] .... 321913.686686: hda_get_response: [0000:00:1b.0:0] val=0x00000000
           aplay-24982 [001] .... 321913.686691: hda_send_cmd: [0000:00:1b.0:0] val=0x00370650
           aplay-24982 [001] .... 321913.686698: hda_send_cmd: [0000:00:1b.0:0] val=0x003a0000
           aplay-24982 [001] .... 321913.686773: hda_get_response: [0000:00:1b.0:0] val=0x00000031
           aplay-24982 [001] .... 321913.698664: hda_send_cmd: [0000:00:1b.0:0] val=0x00320011
           aplay-24982 [001] d... 321913.698748: azx_pcm_trigger: [0:4] cmd=1
           aplay-24982 [001] d... 321913.698750: snd_hdac_stream_start: stream_tag: 5
           aplay-24982 [001] d... 321913.698786: azx_get_position: [0:4] pos=192, delay=0
          <idle>-0     [002] d.h. 321913.783888: azx_get_position: [0:4] pos=16512, delay=42
           aplay-24982 [002] d... 321913.783988: azx_get_position: [0:4] pos=16512, delay=37
          <idle>-0     [002] d.h. 321913.869049: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321913.869137: azx_get_position: [0:4] pos=32868, delay=39
          <idle>-0     [002] d.h. 321913.954213: azx_get_position: [0:4] pos=49220, delay=44
           aplay-24982 [002] d... 321913.954300: azx_get_position: [0:4] pos=49220, delay=39
          <idle>-0     [002] d.h. 321914.039350: azx_get_position: [0:4] pos=36, delay=45
           aplay-24982 [002] d... 321914.039440: azx_get_position: [0:4] pos=36, delay=41
          <idle>-0     [002] d.h. 321914.125222: azx_get_position: [0:4] pos=16512, delay=42
           aplay-24982 [002] d... 321914.125319: azx_get_position: [0:4] pos=16512, delay=37
          <idle>-0     [002] d.h. 321914.210385: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321914.210477: azx_get_position: [0:4] pos=32868, delay=39
          <idle>-0     [002] d.h. 321914.295546: azx_get_position: [0:4] pos=49220, delay=43
           aplay-24982 [002] d... 321914.295638: azx_get_position: [0:4] pos=49220, delay=39
          <idle>-0     [002] d.h. 321914.380689: azx_get_position: [0:4] pos=36, delay=45
           aplay-24982 [002] d... 321914.380776: azx_get_position: [0:4] pos=36, delay=40
          <idle>-0     [002] d.h. 321914.466549: azx_get_position: [0:4] pos=16512, delay=42
           aplay-24982 [002] d... 321914.466632: azx_get_position: [0:4] pos=16512, delay=38
          <idle>-0     [002] d.h. 321914.551717: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321914.551807: azx_get_position: [0:4] pos=32868, delay=39
          <idle>-0     [002] d.h. 321914.636868: azx_get_position: [0:4] pos=49220, delay=44
           aplay-24982 [002] d... 321914.636957: azx_get_position: [0:4] pos=49220, delay=40
          <idle>-0     [002] d.h. 321914.721881: azx_get_position: [0:4] pos=4, delay=43
           aplay-24982 [002] d... 321914.721969: azx_get_position: [0:4] pos=4, delay=39
          <idle>-0     [002] d.h. 321914.807880: azx_get_position: [0:4] pos=16512, delay=42
           aplay-24982 [002] d... 321914.807963: azx_get_position: [0:4] pos=16512, delay=38
          <idle>-0     [002] d.h. 321914.893043: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321914.893132: azx_get_position: [0:4] pos=32868, delay=39
          <idle>-0     [002] d.h. 321914.978211: azx_get_position: [0:4] pos=49220, delay=43
           aplay-24982 [002] d... 321914.978302: azx_get_position: [0:4] pos=49220, delay=39
          <idle>-0     [002] d.h. 321915.063376: azx_get_position: [0:4] pos=36, delay=43
           aplay-24982 [002] d... 321915.063473: azx_get_position: [0:4] pos=36, delay=39
          <idle>-0     [002] d.h. 321915.148537: azx_get_position: [0:4] pos=16388, delay=44
           aplay-24982 [002] d... 321915.148626: azx_get_position: [0:4] pos=16388, delay=39
          <idle>-0     [002] d.h. 321915.234544: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321915.234640: azx_get_position: [0:4] pos=32896, delay=38
          <idle>-0     [002] d.h. 321915.319714: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321915.319808: azx_get_position: [0:4] pos=49252, delay=39
          <idle>-0     [002] d.h. 321915.404854: azx_get_position: [0:4] pos=68, delay=44
           aplay-24982 [002] d... 321915.404949: azx_get_position: [0:4] pos=68, delay=40
          <idle>-0     [002] d.h. 321915.489876: azx_get_position: [0:4] pos=16388, delay=43
           aplay-24982 [002] d... 321915.489967: azx_get_position: [0:4] pos=16388, delay=39
          <idle>-0     [002] d.h. 321915.575874: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321915.575964: azx_get_position: [0:4] pos=32896, delay=38
          <idle>-0     [002] d.h. 321915.661039: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321915.661124: azx_get_position: [0:4] pos=49252, delay=39
          <idle>-0     [002] d.h. 321915.746207: azx_get_position: [0:4] pos=68, delay=43
           aplay-24982 [002] d... 321915.746290: azx_get_position: [0:4] pos=68, delay=39
          <idle>-0     [002] d.h. 321915.831371: azx_get_position: [0:4] pos=16420, delay=43
           aplay-24982 [002] d... 321915.831461: azx_get_position: [0:4] pos=16420, delay=39
          <idle>-0     [002] d.h. 321915.916532: azx_get_position: [0:4] pos=32772, delay=44
           aplay-24982 [002] d... 321915.916619: azx_get_position: [0:4] pos=32772, delay=39
          <idle>-0     [002] d.h. 321916.002540: azx_get_position: [0:4] pos=49280, delay=42
           aplay-24982 [002] d... 321916.002641: azx_get_position: [0:4] pos=49280, delay=37
          <idle>-0     [002] d.h. 321916.087707: azx_get_position: [0:4] pos=100, delay=43
           aplay-24982 [002] d... 321916.087800: azx_get_position: [0:4] pos=100, delay=39
          <idle>-0     [002] d.h. 321916.172866: azx_get_position: [0:4] pos=16452, delay=44
           aplay-24982 [002] d... 321916.172960: azx_get_position: [0:4] pos=16452, delay=39
